ID,Year,JT,Age,OR_cal,IW_cal
TS_94,19,71,26,59.09694126,4.154169328
TS_94,19,71,27,63.25111059,3.148075582
TS_94,19,71,28,66.39918617,3.223101216
TS_94,19,71,29,69.62228739,3.532206826
TS_94,19,71,30,73.15449421,4.335731361
TS_94,19,71,31,77.49022557,3.19159045
TS_94,19,71,32,80.68181602,4.59381954
TS_94,19,71,33,85.27563556,4.596820565
TS_94,19,71,34,89.87245613,4.316224696
TS_94,19,71,35,94.18868083,4.633583126
TS_94,19,71,36,98.82226395,5.455864069
TS_94,19,71,37,104.278128,3.845063718
TS_94,19,71,38,108.1231917,4.70035594
TS_94,19,71,39,112.8235477,5.688443533
TS_94,19,71,40,118.5119912,4.876666178
TS_94,19,71,41,123.3886574,3.985361652
TS_94,19,71,42,127.374019,4.533799033
TS_94,19,71,43,131.9078181,3.911086275
TS_94,19,71,44,135.8189044,5.599163029
TS_94,19,71,45,141.4180674,5.142256921
TS_94,19,71,46,146.5603243,5.764219423
TS_94,19,71,47,152.3245437,5.269800498
TS_94,19,71,48,157.5943442,5.395093306
TS_94,19,71,49,162.9894375,5.410098433
TS_94,19,71,50,168.399536,6.386932181
TS_94,19,71,51,174.7864681,6.548237293
TS_94,19,71,52,181.3347054,7.801915629
TS_94,19,71,53,189.1366211,6.136346565
TS_94,19,71,54,195.2729676,7.635358723
TS_94,19,71,55,202.9083264,8.862027831
TS_94,19,71,56,211.7703542,9.41496675
TS_94,19,71,57,221.1853209,8.925049363
TS_94,19,71,58,230.1103703,11.13155324
TS_94,19,71,59,241.2419235,9.258913432
TS_94,19,71,60,250.500837,13.38082174
TS_94,19,71,61,263.8816587,9.73007441
TS_94,19,71,62,273.6117331,8.71272682
TS_94,19,71,63,282.3244599,9.241657536
TS_94,19,71,64,291.5661175,10.62513022
TS_94,19,71,65,302.1912477,9.884627215
TS_94,19,71,66,312.0758749,12.23518031
TS_94,19,71,67,324.3110552,9.808101069
TS_94,19,71,68,334.1191563,12.48201465
TS_94,19,71,69,346.6011709,12.00710239
TS_94,19,71,70,358.6082733,12.46775978
TS_94,19,71,71,371.0760331,15.03138567
TS_94,19,71,72,386.1074188,18.65062224
TS_94,19,71,73,404.758041,17.20487828
TS_94,19,71,74,421.9629193,20.82111381
TS_94,19,71,75,442.7840331,18.79467145
TS_94,19,71,76,461.5787046,15.48303999
TS_94,19,71,77,477.0617445,20.51801025
TS_94,19,71,78,497.5797548,18.86894683
TS_94,19,71,79,516.4487016,12.70859206
TS_94,19,71,80,529.1572937,15.44027538
TS_94,19,71,81,544.5975691,16.91077779
TS_94,19,71,82,561.5083469,19.68522572
TS_94,19,71,83,581.1935726,17.5980126
TS_94,19,71,84,598.7915852,16.58741731
TS_94,19,71,85,615.3790025,14.15583653
TS_94,19,71,86,629.534839,15.34499282
TS_94,19,71,87,644.8798318,13.59089351
TS_94,19,71,88,658.4707254,15.1116631
TS_94,19,71,89,673.5823885,12.98468639
TS_94,19,71,90,686.5670748,14.3951683
TS_94,19,71,91,700.9622432,15.1116631
TS_94,19,71,92,716.0739063,17.44646082
TS_94,19,71,93,733.5203671,13.29604277
TS_94,19,71,94,746.8164098,12.49326849
TS_94,19,71,95,759.3096783,17.4862244
TS_94,19,71,96,776.7959027,15.31498257
TS_94,19,71,97,792.1108853,13.76045144
TS_94,19,71,98,805.8713368,15.72912407
TS_94,19,71,99,821.6004608,14.20010166
TS_94,19,71,100,835.8005625,15.28947385
TS_94,19,71,101,851.0900363,13.22026688
TS_94,19,71,102,864.3103032,15.85516713
TS_94,19,71,103,880.1654703,15.366
TS_94,19,71,104,895.5314703,17.12310034
TS_94,19,71,105,912.6545707,15.31423231
TS_94,19,71,106,927.968803,12.1564034
TS_94,19,71,107,940.1252064,14.07330833
TS_94,19,71,108,954.1985147,14.90084107
TS_94,19,71,109,969.0993558,15.77939124
TS_94,19,71,110,984.878747,16.21904145
TS_94,19,71,111,1001.097788,14.14908422
TS_94,19,71,112,1015.246873,18.23798125
TS_94,19,71,113,1033.484854,13.24502534
TS_94,19,71,114,1046.729879,14.97736722
TS_94,19,71,115,1061.707247,15.31948411
TS_94,19,71,116,1077.026731,12.13689673
TS_94,19,71,117,1089.163627,11.0497753
TS_94,19,71,118,1100.213403,11.42040193
TS_94,19,71,119,1111.633805,11.01301274
TS_94,19,71,120,1122.646817,11.0497753
TS_94,19,71,121,1133.696593,10.10370207
TS_94,19,71,122,1143.800295,9.563517504
TS_94,19,71,123,1153.363812,10.15847078
TS_94,19,71,124,1163.522283,8.320342757
TS_94,19,71,125,1171.842626,7.429788487
TS_94,19,71,126,1179.272414,10.47357844
TS_94,19,71,127,1189.745993,10.75192354
TS_94,19,71,128,1200.497916,"""NA"""
TS_95,19,61,1,11.05877838,1.63780958
